"id (N)","answer (S)","assignmentid (N)","dateanswered (S)","dategraded (S)","grade (N)","studentid (N)"
"3","The average is 18.","1","7/3/2020","07/22/2020","2.9","3"
"4","The average is 19.","1","7/6/2020","7/14/2020","4","13"
"5","888 + 88 + 8 + 8 + 8 = 1000","3","7/17/2020","7/14/2020","4","13"
"6","41 years ago, when Sally was 13 and her mother was 39.","4","7/7/2020","7/14/2020","4","7"
"7","41 years ago, Sally was 13, mother was 39.","4","7/8/2020","7/14/2020","4","13"
"8","4 children get 1 apple each while the fifth child gets the basket with the remaining apple still in it.","5","7/7/2020","7/14/2020","4","13"
"9","A Mathemachicken","12","7/6/2020","7/14/2020","4","1"
"10","Smart","12","7/6/2020","7/14/2020","3.1","3"
"11","Dive-vision!","11","7/6/2020","7/14/2020","4","34"
"12","Because he was taught that a double negative in English is bad, but in math, it’s a positive.","10","7/6/2020","7/14/2020","4","1"
"13","Because he was taught that a double negative in English is bad, but in math, it’s a positive.","10","7/6/2020","7/14/2020","4","3"
"14","Nurse: Simple, follow the order of operations.","9","7/6/2020","7/14/2020","4","1"
"15","The teacher told him not to use tables.","8","7/6/2020","7/14/2020","4","34"
"16","Because her teacher told him not to use tables.","8","7/6/2020","7/14/2020","4","16"
"17","A line.","7","7/6/2020","7/14/2020","4","16"
"18","A ray.","7","7/6/2020","7/14/2020","4","1"
"19","You’re pointless.","6","7/6/2020","7/14/2020","4","34"
"20","The answer is 4.","13","7/6/2020","7/14/2020","3.9","3"
"21","1/3(½*5 = 3)1/3
1/6*5 = 1
2(1/6*5 = 1)2
1/3*5 = 2
2(1/3*5 = 2)2
1/3*10 = 4","13","7/6/2020","7/14/2020","4","1"
"22","5,280","14","7/6/2020","7/14/2020","4","3"
"23","None. It's a hardware problem.","15","07/07/2020","07/15/2020","4","13"
"24","The best thing about a boolean is even if you are wrong, you are only off by a bit.","16","07/07/2020","07/15/2020","3.9","13"
"25","A good programmer is someone who always looks both ways before crossing a one-way street","17","07/07/2020","07/16/2020","3.9","17"
"26","A dummy argument.","18","7/6/2020","7/14/2020","4","10"
"27","BASIC programmers never die, they GOSUB and don't RETURN","19","7/6/2020","7/14/2020","3.9","13"
"28","Cause light attracts bugs","20","7/6/2020","7/14/2020","3.8","16"
"29","Java and JavaScript are similar like car and carpet are similar.","21","07/07/2020","07/15/2020","4","13"
"30","That can't be comfortable. Try a chair.","22","07/07/2020","07/15/2020","4","19"
"31","To understand recursion...(see question)","23","07/07/2020","07/16/2020","3.6","13"
"32","4:20 pm","24","07/07/2020","07/15/2020","4","13"
"33","4:20 am","24","07/08/2020","07/15/2020","4","18"
